,title,case_id,top5
385,Festo Corp. v. Shoketsu Kinzoku Kogyo Kabushiki Co.,386,"patent, bork, bar, patentability, equivalents"
386,Fifth Third Bancorp v. Dudenhoeffer,387,"stock, information, reporting, plan, trustee"
387,Filarsky v. Delia,388,"immunity, mcgill, private, qualified, attorney"
388,First American Financial Corp. v. Edwards,389,"reporting, lamken, panner, injuryinfact, plaintiff"
389,Fisher v. University of Tex. at Austin,390,"race, university, percent, students, plan"
390,Fisher v. University of Texas at Austin,391,"rein, race, grutter, percent, university"
391,Fitzgerald v. Barnstable School Comm.,392,"title, hodge, section, discrimination, constitutional"
392,Fitzgerald v. Racing Assn. of Central Iowa,393,"iowa, 4th, floor, miller, tax"
393,Florence v. Board of Chosen Freeholders of County of Burlington,394,"phillips, search, reasonable, suspicion, policy"
394,Flores-Figueroa v. United States,395,"person, russell, heytens, identification, defendant"
395,Flores-Villar v. United States,396,"kneedler, hubachek, citizenship, child, mother"
396,"Florida Dept. of Revenue v. Piccadilly Cafeterias, Inc.",397,"plan, makar, tax, confirmation, brunstad"
397,Florida v. Department of Health and Human Servs.,398,"clement, money, program, take, secretary"
398,Florida v. Georgia,399,"water, corps, garre, florida, heritage"
399,Florida v. Harris,400,"dog, garre, gifford, dogs, records"
400,Florida v. Jardines,401,"dog, blumberg, door, officer, garre"
401,Florida v. Nixon,402,"lawyer, tillinghast, company1111, guilty, trial"
402,Florida v. Powell,403,"miranda, florida, jacquot, warnings, counsel"
403,Florida v. Thomas,404,"car, krauss, belton, search, arrest"
404,Fonseca Pereira v. Sessions,405,"notice, appear, liu, heritage, zimmer"
405,Ford Motor Co. v. McCauley,406,"berman, waxman, complaint, consolidated, jurisdiction"
406,Forest Grove School Dist. v. T.A.,407,"school, hearing, feinerman, education, child"
407,Foster v. Chatman,408,"burton, bright, batson, supreme, reasons"
408,Fowler v. United States,409,"officer, crawford, reporting, harrington, enforcement"
409,Fox v. Vice,410,"stancil, claims, fees, frivolous, rosenkranz"
410,Franchise Tax Bd. of Cal. v. Hyatt,411,"sovereign, immunity, nevada, california, clement"
411,Francisco Soso v. Alvarez-Machain,412,"hoffman, reporting, inc, action, phillips"
412,Franconia Associates v. United States,413,"breach, contract, page, petitioners, anticipatory"
413,Free Enterprise Fund v. Public Company Accounting Oversight Bd.,414,"board, carvin, president, kagan, control"
414,"Freeman v. Quicken Loans, Inc.",415,"reporting, hefferon, russell, service, hud"
415,Freeman v. United States,416,"guidelines, sentence, agreement, judge, heft"
416,Frew v. Hawkins,417,"decree, cruz, consent, young, parte"
417,Friedrichs v. California Teachers Assn.,418,"carvin, union, public, agency, employer"
418,Fry v. Napoleon Community Schools,419,"idea, relief, reporting, katyal, school"
419,Fry v. Pliler,420,"brecht, error, haltom, standard, moody"
420,"FTC v. Actavis, Inc.",421,"patent, weinberger, generic, stewart, brand"
421,"FTC v. Phoebe Putney Health System, Inc.",422,"hospital, waxman, authority, hospitals, power"
422,Gabelli v. SEC,423,"wall, liman, penalty, fraud, civil"
423,Garcetti v. Ceballos (Reargued),424,"robinvergeer, employee, lee, public, speech"
424,Garcetti v. Ceballos,425,"robinvergeer, lee, speech, public, company1111"
425,Gelboim v. Bank of America Corp.,426,"goldstein, judgment, waxman, action, appeal"
426,General Dynamics Corp. v. United States,427,"contract, phillips, katyal, party, default"
427,"General Dynamics Land Systems, Inc. v. Cline",428,"age, verrilli, older, inc, biggerman"
428,Genesis HealthCare Corp. v. Symczyk,429,"offer, judgment, mann, plaintiff, katyal"
429,Georgia v. Ashcroft,430,"walbert, black, districts, section, floor"
430,Georgia v. Randolph,431,"goldstein, police, company1111, souter, smith"
431,Giles v. California,432,"burkhardt, common, defendant, confrontation, come"
432,Gill v. Whitford,433,"heritage, corporation, smith, well, party"
433,Gisbrecht v. Barnhart,434,"fee, salmons, schnaufer, contingent, attorney"
434,Gitlitz v. Commissioner,435,"income, jones, tax, basis, hallett"
435,"Global Crossing Telecommunications, Inc. v. Metrophones Telecommunications, Inc.",436,"fcc, fisher, pay, unjust, unreasonable"
436,"Global-Tech Appliances, Inc. v. SEB S.A.",437,"patent, dunnegan, cruz, standard, knowledge"
437,Glossip v. Gross,438,"drug, konrad, wyrick, effect, pain"
438,Glover v. United States,439,"counsel, seventh, dreeben, prejudice, arguments"
439,Gobeille v. Liberty Mut. Ins. Co.,440,"plans, information, asay, data, health"
440,Golan v. Holder,441,"falzone, works, verrilli, protection, public"
441,Gomez-Perez v. Potter,442,"discrimination, retaliation, garre, reporting, age"
442,Gonzaga Univ. v. Doe,443,"policy, rights, school, secretary, funds"
443,Gonzales v. Carhart,444,"smith, procedure, clement, findings, doctors"
